SS19384 | Senin | 12:00 | Jakarta -> Jerman | Sapphire | Rp 10400000
CP37401 | Senin | 06:50 | Jakarta  ->  Jerman | Oceanic Path | Rp 8400000
OD58247 | Senin | 07:25 | Balikpapan  ->  Swedia | Odyssey | Rp 7600000
DA62489 | Senin | 08:10 | Palembang  ->  Prancis | DeslizaAire | Rp 6800000
RF82345 | Senin | 09:45 | Makassar  ->  Spanyol | Stratofortress | Rp 12600000
ET73921 | Senin | 10:30 | Bali  ->  Inggris | Eurofighter Typhoon | Rp 13800000
SS28463 | Senin | 12:00 | Bandung -> Belanda | Sapphire Sky | Rp 10000000
CP47392 | Senin | 12:40 | Balikpapan  ->  Portugal | Oceanic Path | Rp 8300000
OD36574 | Senin | 13:15 | Palembang  ->  Italia | Odyssey | Rp 7500000
DA98412 | Senin | 14:00 | Makassar  ->  Rusia | DeslizaAire | Rp 6900000
RF18532 | Senin | 14:50 | Bali  ->  Swedia | Stratofortress | Rp 12800000
ET43689 | Senin | 15:40 | Jakarta  ->  Prancis | Eurofighter Typhoon | Rp 13700000
SS67294 | Senin | 16:20 | Balikpapan  ->  Spanyol | Sapphire Sky | Rp 10300000
CP51728 | Senin | 17:15 | Palembang  ->  Inggris | Oceanic Path | Rp 8100000
OD98215 | Senin | 18:10 | Makassar  ->  Belanda | Odyssey | Rp 7200000
DA74163 | Senin | 18:50 | Bali  ->  Italia | DeslizaAire | Rp 6700000
RF92647 | Senin | 19:30 | Jakarta  ->  Rusia | Stratofortress | Rp 12500000
ET54372 | Senin | 20:10 | Jakarta  ->  Swiss | Eurofighter Typhoon | Rp 13900000
SS38746 | Senin | 20:50 | Palembang  ->  Jerman | Sapphire Sky | Rp 10200000
CP86915 | Senin | 21:30 | Makassar  ->  Portugal | Oceanic Path | Rp 8200000

RF49283 | Selasa | 05:40 | Palembang  ->  Rusia | Stratofortress | Rp 12700000
CP17456 | Selasa | 06:30 | Makassar  ->  Italia | Oceanic Path | Rp 8300000
OD67329 | Selasa | 07:15 | Bali  ->  Jerman | Odyssey | Rp 7500000
DA82651 | Selasa | 08:25 | Jakarta  ->  Portugal | DeslizaAire | Rp 6900000
SS31547 | Selasa | 09:10 | Balikpapan  ->  Belanda | Sapphire Sky | Rp 10400000
ET92847 | Selasa | 10:35 | Palembang  ->  Inggris | Eurofighter Typhoon | Rp 13800000
RF82374 | Selasa | 11:20 | Makassar  ->  Spanyol | Stratofortress | Rp 12600000
SS62481 | Selasa | 12:05 | Bali  ->  Prancis | Sapphire Sky | Rp 10300000
CP39418 | Selasa | 13:30 | Jakarta  ->  Swedia | Oceanic Path | Rp 8100000
OD47536 | Selasa | 14:20 | Balikpapan  ->  Swiss | Odyssey | Rp 7600000
DA48279 | Selasa | 15:00 | Palembang  ->  Belanda | DeslizaAire | Rp 6800000
SS75192 | Selasa | 16:10 | Makassar  ->  Inggris | Sapphire Sky | Rp 10200000
RF69245 | Selasa | 17:15 | Bali  ->  Rusia | Stratofortress | Rp 12500000
CP52374 | Selasa | 18:05 | Jakarta  ->  Italia | Oceanic Path | Rp 8400000
ET94753 | Selasa | 19:00 | Balikpapan  ->  Spanyol | Eurofighter Typhoon | Rp 13900000
OD67125 | Selasa | 19:50 | Palembang  ->  Portugal | Odyssey | Rp 7200000
DA83927 | Selasa | 20:25 | Makassar  ->  Jerman | DeslizaAire | Rp 6700000
ET32457 | Selasa | 21:10 | Bali  ->  Swiss | Eurofighter Typhoon | Rp 13700000
SS17438 | Selasa | 21:50 | Jakarta  ->  Swedia | Sapphire Sky | Rp 10500000
CP48296 | Selasa | 22:30 | Balikpapan  ->  Prancis | Oceanic Path | Rp 8200000

SS28594 | Rabu | 05:45 | Makassar  ->  Inggris | Sapphire Sky | Rp 10200000
CP73146 | Rabu | 06:20 | Bali  ->  Swedia | Oceanic Path | Rp 8100000
OD48372 | Rabu | 07:05 | Jakarta  ->  Spanyol | Odyssey | Rp 7400000
DA96351 | Rabu | 08:10 | Balikpapan  ->  Rusia | DeslizaAire | Rp 6600000
RF51738 | Rabu | 09:00 | Palembang  ->  Italia | Stratofortress | Rp 12400000
ET92461 | Rabu | 10:15 | Makassar  ->  Jerman | Eurofighter Typhoon | Rp 13800000
SS37418 | Rabu | 11:25 | Bali  ->  Portugal | Sapphire Sky | Rp 10000000
CP64752 | Rabu | 12:40 | Jakarta  ->  Swiss | Oceanic Path | Rp 8200000
OD58214 | Rabu | 13:20 | Balikpapan  ->  Belanda | Odyssey | Rp 7300000
